,POLTITICAL_UNIT,NAME,WGMS_ID,RIVER_BASIN,FREE_POSITION,LOCAL_CODE,LOCAL_PSFG,GEN_LOCATION,SPEC_LOCATION,LATITUDE,LONGITUDE,PRIM_CLASSIFIC,FORM,FRONTAL_CHARS,EXPOS_ACC_AREA,EXPOS_ABL_AREA,PARENT_GLACIER,REMARKS,REGION,SUBREGION,GLIMS_ID,RGI_ID
372,CH,GRASSEN-W,4957,,,,,,,46.771,8.47688,,,,,,,,Central Europe,Alps,G008475E46770N,RGI50-11.01048
373,CH,FIRNALPELI-W,4958,,,,,,,46.775799,8.44293,,,,,,,,Central Europe,Alps,G008443E46772N,RGI50-11.01030
374,CH,TITLIS,4959,,,,,,,46.7803,8.43384,,,,,,,,Central Europe,Alps,G008432E46781N,RGI50-11.01019
375,CH,SULZLI ('73 COMBINED),4960,,,,,,,46.7743,8.40362,,,,,,,,Central Europe,Alps,G008406E46773N,RGI50-11.01051
376,CH,JOCH-E,4961,,,,,,,46.767101,8.39956,,,,,,,,Central Europe,Alps,G008396E46768N,
377,CH,SCHLOSSBERG-N ('73 ONLY AREA),4962,,,,,,,46.810902,8.53268,,,,,,,,Central Europe,Alps,G008534E46812N,
378,CH,CHLI SPANNORT-I,4963,,,,,,,46.7859,8.51777,,,,,,,,Central Europe,Alps,G008511E46781N,RGI50-11.01006
379,CH,CHLI SPANNORT-III,4964,,,,,,,46.780602,8.50718,,,,,,,,Central Europe,Alps,G008506E46780N,RGI50-11.01006
380,CH,SCHEIDEGG,4965,,,,,,,46.778,8.49273,,,,,,,,Central Europe,Alps,G008493E46775N,RGI50-11.01033
381,CH,UNTER ROTEGG,4966,,,,,,,46.777698,8.42987,,,,,,,,Central Europe,Alps,G008432E46777N,RGI50-11.01019
382,CH,OBER ROTEGG,4967,,,,,,,46.773201,8.42717,,,,,,,,Central Europe,Alps,G008427E46774N,RGI50-11.01038
383,CH,JOCH-W,4968,,,,,,,46.7663,8.38645,,,,,,,,Central Europe,Alps,G008390E46764N,RGI50-11.01072
384,CH,MAEHREN-E,4969,,,,,,,46.762001,8.37067,,,,,,,,Central Europe,Alps,G008371E46760N,
385,CH,CHLI LI,4970,,,,,,,46.769699,8.41532,,,,,,,,Central Europe,Alps,G008416E46772N,RGI50-11.01057
386,CH,WENDEN,4971,,,,,,,46.762299,8.43875,,,,,,,,Central Europe,Alps,G008440E46766N,RGI50-11.01067
387,CH,URAT,4972,,,,,,,46.750702,8.42675,,,,,,,,Central Europe,Alps,G008427E46750N,RGI50-11.01107
388,CH,OBERTAL-W,4973,,,,,,,46.748901,8.43326,,,,,,,,Central Europe,Alps,G008433E46749N,RGI50-11.01112
389,CH,OBERTAL-E,4974,,,,,,,46.748798,8.43981,,,,,,,,Central Europe,Alps,G008438E46751N,RGI50-11.01109
390,CH,STEIN (NO. 53),4975,,,,,,,46.696701,8.42838,,,,,,,,Central Europe,Alps,G008431E46695N,RGI50-11.01144
391,CH,GIGLISTOCK,4976,,,,,,,46.708698,8.38937,,,,,,,,Central Europe,Alps,G008389E46708N,RGI50-11.01159
392,CH,TALEGGLI,4977,,,,,,,46.711498,8.38811,,,,,,,,Central Europe,Alps,G008386E46711N,RGI50-11.01152
393,CH,GIGLI,4978,,,,,,,46.713299,8.37898,,,,,,,,Central Europe,Alps,G008378E46713N,RGI50-11.01150
394,CH,HINDER GADENLAUIEGG,4979,,,,,,,46.715198,8.37117,,,,,,,,Central Europe,Alps,G008372E46714N,
395,CH,VORDER TIERBERG,4980,,,,,,,46.695202,8.39305,,,,,,,,Central Europe,Alps,G008392E46694N,RGI50-11.01176
