,POLITICAL_UNIT,NAME,WGMS_ID,RIVER_BASIN,FREE_POSITION,LOCAL_CODE,LOCAL_PSFG,GEN_LOCATION,SPEC_LOCATION,LATITUDE,LONGITUDE,PRIM_CLASSIFIC,FORM,FRONTAL_CHARS,EXPOS_ACC_AREA,EXPOS_ABL_AREA,PARENT_GLACIER,REMARKS,GEO-REGION_CODE,GEO-SUBREGION_CODE,FoG_compname,AREA,MATCH_RATIO,MATCH_NAME,AREA_MATCH,DIST_TO_CLOSEST,CLOSEST,AREA_CLOSEST
841,CH,VERSTANKLA,409,R0131,0,G 8,0089,EASTERN ALPS,RHEIN BASIN,46.84,10.06,6.0,1,7.0,NW,NW,,Remarks from LAT/LON-Check: controlled and corrected with maps. Former LAT/LON: 46.85 / 10.07.,CEU,CEU-01,verstankla,1.06,0.8571428571428571,verstanclag,0.71453,650.9657350400836,vernela g,0.30984
842,CH,VORAB,413,R0131,4,P 1,0085,WESTERN ALPS,RHEIN BASIN,46.88,9.17,6.0,0,6.0,E,SE,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,vorab,2.51,0.5555555555555556,vorabsattel-w,0.11837,467.24547433825927,vorab glatscher dil,1.22563
843,CH,VORDRE SCHMADRI,2315,4R014,4M,15,,,,46.49,7.9,,,,,,,M. Zemp: GenInfo from WGI for table RECONSTRUCTION.Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,vordre schmadri,,0.967741935483871,vordre schmadrig,0.94719,471.3377140295084,brunnenhorn-n,0.00827
844,CH,WALLENBUR,428,R0135,1,F24,0071,WESTERN ALPS,REUSS BASIN,46.7,8.47,6.0,1,9.0,E,SE,,Remarks from LAT/LON-Check: controlled and corrected with maps. Former LAT/LON: 46.72 / 8.47.,CEU,CEU-01,wallenbur,1.7,0.8181818181818182,wallenburfirn,1.41688,485.30334480603767,brunnenfirn-s,0.27859
845,CH,WANNENHORN GL.,3429,4N013,36,,,WESTERN ALPS,RHONE BASIN,46.47,8.09,,,,SW,SW,,,CEU,CEU-01,wannenhorn gl.,,0.7857142857142857,wannenhorng-nw,0.49312,771.8172538426223,senfspitze-s,0.043
846,CH,WANNENHORN GL. N,3430,4N013,36,32,,WESTERN ALPS,RHONE BASIN,46.48,8.09,,,,SW,SW,3429.0,,CEU,CEU-01,wannenhorn gl. n,,0.8,wannenhorng-nw,0.49312,898.2091968496509,wannenhorng-nw,0.49312
847,CH,WANNENHORN GL. S,3431,4N013,36,33,,WESTERN ALPS,RHONE BASIN,46.47,8.09,,,,SW,SW,3429.0,,CEU,CEU-01,wannenhorn gl. s,,0.8,wannenhorng-se,0.38984,771.8172538426223,senfspitze-s,0.043
848,CH,WITENWASSEREN,2319,4R014,1E,20,,,,46.53,8.47,,,,,,,"M. Zemp: GenInfo from WGI for table RECONSTRUCTION.Remarks from LAT/LON-Check: controlled and was not exact or clear, but not corrected.",CEU,CEU-01,witenwasseren,,0.9629629629629629,witenwassereng,0.6271899999999999,126.686211520173,witenwasseren-w,0.13125
849,CH,ZENBAECHEN GL.,3432,4N013,36,18,,WESTERN ALPS,RHONE BASIN,46.43,8.02,,,,SE,S,,,CEU,CEU-01,zenbaechen gl.,,0.88,zenbaecheng,0.8589100000000001,963.8798875360736,driestg,2.02625
850,CH,ZINAL,382,N0126,3,  5,0022,WESTERN ALPS,RHONE BASIN,46.07,7.63,5.0,1,9.0,N,N,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,zinal,16.24,0.6666666666666666,zinal g de,13.36,1232.7172938594053,bouquetins-e,0.025519999999999998
851,CH,ZMUTT,390,N0125,7, 15,0015,WESTERN ALPS,RHONE BASIN,46.0,7.63,5.0,1,7.0,NE,E,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,zmutt,17.22,0.9090909090909091,zmuttg,13.73688,2320.0093577138964,pointe de zinal-s-ii,0.00343
